Entity,Code,Year,UIS: Percentage of population age 25+ with at least completed post-secondary education (ISCED 4 or higher). Total
Afghanistan,AFG,1975,1.70000994205475
Afghanistan,AFG,1979,3.0244500637054403
Albania,ALB,2001,7.427879810333249
Albania,ALB,2008,9.816240310668949
Albania,ALB,2011,12.0026302337646
Albania,ALB,2012,12.899660110473599
Algeria,DZA,1971,0.31725999712944003
Andorra,AND,2004,30.5104198455811
Andorra,AND,2005,28.106389999389602
Andorra,AND,2006,30.477909088134798
Andorra,AND,2014,32.681079864502
Andorra,AND,2015,32.4202499389648
Argentina,ARG,1970,4
Argentina,ARG,1980,6.099999904632571
Argentina,ARG,1991,12.0099096298218
Armenia,ARM,2001,42.11391067504879
Armenia,ARM,2011,46.9643898010254
Armenia,ARM,2015,50.560638427734396
Aruba,ABW,1991,7.18651008605957
Australia,AUS,1971,21.5
Australia,AUS,2004,33.364990234375
Australia,AUS,2005,34.2044906616211
Australia,AUS,2006,35.729789733886705
Australia,AUS,2007,36.735240936279205
Australia,AUS,2008,39.3568687438965
Australia,AUS,2009,40.5558280944824
Australia,AUS,2010,41.795711517334
Australia,AUS,2011,42.7026596069336
Australia,AUS,2012,46.461971282959006
Australia,AUS,2013,41.6409111022949
Australia,AUS,2014,39.034980773925795
Australia,AUS,2015,45.3450698852539
Austria,AUT,1971,2.55789995193481
Austria,AUT,1981,3.24651002883911
Austria,AUT,1991,6.104519844055179
Austria,AUT,2005,23.8370304107666
Austria,AUT,2007,23.867000579834
Austria,AUT,2008,23.595760345459
Austria,AUT,2009,25.622549057006804
Austria,AUT,2010,26.1673908233643
Austria,AUT,2011,26.338830947876
Austria,AUT,2012,26.9906406402588
Austria,AUT,2013,27.827560424804698
Austria,AUT,2014,28.418519973754897
Austria,AUT,2015,29.1428203582764
Azerbaijan,AZE,1999,32.596359252929695
Azerbaijan,AZE,2007,33.2905693054199
Azerbaijan,AZE,2008,33.3576011657715
Azerbaijan,AZE,2009,29.8219203948975
Azerbaijan,AZE,2010,29.9682292938232
Azerbaijan,AZE,2011,30.002220153808604
Azerbaijan,AZE,2012,30.0363502502441
Azerbaijan,AZE,2013,30.033130645752
Azerbaijan,AZE,2014,30.057119369506804
Azerbaijan,AZE,2015,30.0416603088379
Bahamas,BHS,1990,13.468150138855
Bahamas,BHS,2000,19.176250457763697
Bahamas,BHS,2010,31.2580509185791
Bahrain,BHR,1971,3.79999995231628
Bahrain,BHR,1991,10.3000001907349
Bahrain,BHR,2010,40.1199493408203
Bangladesh,BGD,1974,0.860329985618591
Bangladesh,BGD,1981,1.27348005771637
Bangladesh,BGD,2001,4.20865011215209
Barbados,BRB,1970,1.20000004768372
Barbados,BRB,1980,3.35552000999451
Barbados,BRB,2000,15.6818504333496
Belarus,BLR,1970,5.34779977798462
Belarus,BLR,1989,12.512510299682601
Belarus,BLR,2009,63.376220703125
Belgium,BEL,1970,5.1780099868774405
Belgium,BEL,2006,28.205659866332997
Belgium,BEL,2008,29.387229919433604
Belgium,BEL,2009,30.6177597045898
Belgium,BEL,2010,31.740449905395497
Belgium,BEL,2011,32.156280517578104
Belgium,BEL,2012,32.712249755859396
Belgium,BEL,2013,32.9851417541504
Belgium,BEL,2014,32.803390502929695
Belgium,BEL,2015,33.2611503601074
Belize,BLZ,1970,1.3927400112151997
Belize,BLZ,1980,2.2999999523162797
Belize,BLZ,1991,6.69950008392333
Belize,BLZ,2010,15.433119773864698
Benin,BEN,1979,0.30004000663757296
Benin,BEN,1992,1.3031300306320202
Benin,BEN,2002,2.16149997711182
Bermuda,BMU,1970,7.400000095367429
Bermuda,BMU,1991,18.364669799804698
Bermuda,BMU,2000,51.2354202270508
Bermuda,BMU,2010,51.0059700012207
Bhutan,BTN,2012,5.38001012802124
Bolivia,BOL,1976,5
Bolivia,BOL,1992,10.843370437622099
Bolivia,BOL,2001,16.8349895477295
Bolivia,BOL,2006,20.9168796539307
Bolivia,BOL,2008,20.535120010376
Bolivia,BOL,2009,22.769590377807603
Bolivia,BOL,2012,24.032239913940398
Bosnia and Herzegovina,BIH,2010,9.2254295349121
Bosnia and Herzegovina,BIH,2011,9.847860336303711
Bosnia and Herzegovina,BIH,2014,11.300840377807601
Bosnia and Herzegovina,BIH,2015,11.4720802307129
Botswana,BWA,1971,0.640380024909973
Brazil,BRA,1970,1.97546005249023
Brazil,BRA,1976,4.30000019073486
Brazil,BRA,1980,4.94504976272583
British Virgin Islands,VGB,1980,8.51187992095947
British Virgin Islands,VGB,1991,13.7569103240967
Brunei,BRN,1971,3.05421996116638
Brunei,BRN,1981,9.45314025878906
Bulgaria,BGR,1975,5.48691987991333
Bulgaria,BGR,1992,15.0391302108765
Burkina Faso,BFA,2006,1.83583998680115
Burkina Faso,BFA,2007,0.267089992761612
Burkina Faso,BFA,2014,0
Burundi,BDI,1990,0.59622997045517
Cambodia,KHM,2007,1.8318699598312398
Cambodia,KHM,2008,1.85405004024506
Cambodia,KHM,2009,2.0420401096344
Cameroon,CMR,1976,0.26861000061035195
Cameroon,CMR,2010,13.507809638977099
Canada,CAN,1986,19.3409690856934
Canada,CAN,1991,21.5301895141602
Canada,CAN,2006,55.981929779052706
Canada,CAN,2011,59.640308380127
Cape Verde,CPV,2015,11.8696203231812
Cayman Islands,CYM,1970,2.9000000953674303
